"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Software Engineering based Cost Reduction Techniques for Different Testing Models","Y. M. Roopa; B. Yoshitha","Department of Computer Science and Engineering, Institute of Aeronautical Engineering, Hyderabad; Department of Computer Science and Engineering, Institute of Aeronautical Engineering, Hyderabad","2019 3rd International conference on Electronics, Communication and Aerospace Technology (ICECA)","2 Sep 2019","2019","","","350","354","Software engineering holds a major area for software testing which helps in the minimization of software costs, reduction of errors and overall maintenance. Software testing can be simplified to encompass it as validation and verification. Testing is a methodology of finding out errors in any specific developed program which do not cause any further bugs or interrupt and results in the smooth running of product. Various research papers are available already but still testing is one of the most practiced methodology for assessing the quality of the product. Testing is carried in different wheel of cycle. Software testing more adequately provides rapid development, reduced complexity in digital systems, which includes behavioral models.This paper discusses different software strategies such as unit testing, validation testing and techniques like white box technique, grey box testing and black box testing for object-oriented results. This paper also aims to discuss various existing testing techniques as well as improved techniques and also display the views of software testing community in general.","","978-1-7281-0167-5","10.1109/ICECA.2019.8822134","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822134","White box testing;black box testing;grey box testing;Software testing;process model;testing techniques","Software;Software testing;Conferences;Security;Tools;Aerospace electronics","cost reduction;minimisation;program debugging;program testing;software maintenance;software quality","software costs;unit testing;validation testing;grey box testing;black box testing;software engineering;cost reduction techniques;software testing;minimization;software maintenance;bugs;product quality;digital systems;behavioral models;white box technique;object-oriented","","2","","13","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Coverage-Based Reduction of Test Execution Time: Lessons from a Very Large Industrial Project","T. Bach; A. Andrzejak; R. Pannemans","Institute of Computer Science, Heidelberg University, Heidelberg, Germany; Institute of Computer Science, Heidelberg University, Heidelberg, Germany; SAP SE, Walldorf, Germany","2017 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","17 Apr 2017","2017","","","3","12","There exist several coverage-based approaches to reduce time and resource costs of test execution. While these methods are well-investigated and evaluated for smaller to medium-size projects, we faced several challenges in applying them in the context of a very large industrial software project, namely SAP HANA. These issues include: varying effectiveness of algorithms for test case selection/prioritization, large amounts of shared (non-specific) coverage between different tests, high redundancy of coverage data, and randomness of test results (i.e. flaky tests), as well as of the coverage data (e.g. due to concurrency issues). We address these issues by several approaches. First, our study shows that compared to standard algorithms, so-called overlap-aware solvers can achieve up to 50% higher code coverage in a fixed time budget, significantly increasing the effectiveness of test case prioritization and selection. We also detected in our project high redundancy of line coverage data (up to 97%), providing opportunities for data size reduction. Finally, we show that removal of coverage shared by tests can significantly increase test specificity. Our analysis and approaches can help to narrow the gap between research and practice in context of coverage-based testing approaches, especially in case of very large software projects.","","978-1-5090-6676-6","10.1109/ICSTW.2017.6","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7899023","coverage;test case selection;test case prioritization;test specificty;large real world project","Testing;Software;Redundancy;Runtime;Context;Optimization;Heuristic algorithms","data reduction;program testing;project management;redundancy;software cost estimation;software development management","coverage-based testing;data size reduction;line coverage data;fixed time budget;overlap-aware solvers;coverage data redundancy;test case prioritization;test case selection;SAP HANA;very large industrial software project;resource cost reduction;time cost reduction;test execution time reduction;coverage-based reduction","","7","","21","IEEE","17 Apr 2017","","","IEEE","IEEE Conferences"
"Effects of an Economic Approach for Test Case Selection and Reduction for a Large Industrial Project","T. Bach; R. Pannemans; S. Schwedes","Institute of Computer Science, Heidelberg University, Heidelberg, Germany; SAP SE, Dietmar-Hopp-Allee, Walldorf, Germany; SAP SE, Dietmar-Hopp-Allee, Walldorf, Germany","2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","19 Jul 2018","2018","","","374","379","Extensive testing in large projects can lead to tremendous test costs with superlinear growth over time. Researchers have proposed several techniques to tackle this problem. However, the practical effects of these techniques on the asymptotic behaviour of test costs growth in large industrial software projects remains poorly characterized. We introduce and analyse a fixed time budget for test executions for SAP HANA, a large industrial project. Our approach assigns a global fixed time budget to several components. Each component can only execute tests within its budget, which can change only by transfers from other components. This limits the number of test executions for each test run to a constant, thus reducing the asymptotic growth of test costs. Budget transfers and test optimizations adhere to balances between value and costs, thus creating an economic environment for test case selection and reduction. Specifically, this creates incentives to remove unnecessary tests and to optimize test execution times. For SAP HANA, our approach leads to effective test case selection and reduction, and reduces test execution times by 105 years in four months with a negligible effect on quality. The trade-off between runtime savings and failure detection is 1.83 years per failure.","","978-1-5386-6352-3","10.1109/ICSTW.2018.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411779","test costs growth problem;test case selection;test suite reduction;large industrial software project;effect evaluation","Testing;Runtime;Software;Economics;Hardware;Manuals;Conferences","integrated circuit testing;optimisation;program testing","SAP HANA;global fixed time budget;test executions;asymptotic growth;budget transfers;test optimizations;test execution times;superlinear growth;test costs growth;industrial software projects;test case selection;time 105.0 year;time 4.0 month;time 1.83 year","","2","","9","IEEE","19 Jul 2018","","","IEEE","IEEE Conferences"
"Software Testing: Cost Reduction in Industry 4.0","K. J. Valle-Gómez; P. Delgado-Pérez; I. Medina-Bulo; J. Magallanes-Fernández","University of Cadiz, Puerto Real, Spain; University of Cadiz, Puerto Real, Spain; University of Cadiz, Puerto Real, Spain; University of Cadiz, Puerto Real, Spain","2019 IEEE/ACM 14th International Workshop on Automation of Software Test (AST)","2 Sep 2019","2019","","","69","70","Industry 4.0 is changing every perspective of production. This new industry requires the evolution of every aspect of the systems faster than ever before. In this situation, validation and verification emerge as a significant phase of the life cycle of software projects. A software failure could result in catastrophic consequences, so it is crucial that all systems work correctly in production. In this work, we present a collaborative project between the University of Cadiz and Navantia. Navantia is a leader shipbuilding Spanish company which develops grand industrial software projects. The objective of this work is to decrease the total cost of these projects by automatizing the software testing phase.","","978-1-7281-2237-3","10.1109/AST.2019.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822082","Industry 4.0;Software Testing;Automatization","Industries;Software;Software testing;C++ languages;Production;Collaboration","cost reduction;production engineering computing;program testing;project management;shipbuilding industry","software testing phase;cost reduction;software failure;catastrophic consequences;industrial software projects;shipbuilding Spanish company;Industry 4.0;University of Cadiz;Navantia company","","1","","10","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Introducing a Fuzzy Model for Cost Cognizant Software Test Case Prioritization","R. Mukherjee; K. S. Patnaik","Computer Science and Engineering, Birla Institute of Technology, Mesra, Ranchi, India; Computer Science and Engineering, Birla Institute of Technology, Mesra, Ranchi, India","TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON)","12 Dec 2019","2019","","","504","509","Testing ensures the delivery of a product in stipulated amount of time. According to Test Case Prioritization (TCP), test cases with higher priority get executed earlier. Enhancing the fault detection rate, capturing high priority requirements, reducing the cost and time of prioritization mechanism are several goals of TCP techniques. In this paper, we have proposed a fuzzy model that quantifies the savings generated by the prioritization mechanism. The model considers the effect of fault detection rate and number of test cases. Our first research question concentrates on implementing this fuzzy model while our second research question explores which technique for prioritization generates how much savings. Analysis of 10 C programs and 6 Siemens programs from Software Infrastructure Repository (SIR) shows that the technique of combining branch coverage and modified condition and decision coverage (MC/DC) yielded 2.01 times savings over non-prioritized test suite. Results also indicated that only branch coverage based TCP yielded 1.26 times savings over non-prioritized test suite. We hope our cost aware fuzzy model and these savings analysis will make test case prioritization more applicable with better planning. As several stages of software development do not have exact calculation of parameters, we realized that building a fuzzy model is of utmost importance.","2159-3450","978-1-7281-1895-6","10.1109/TENCON.2019.8929716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929716","test case;prioritization;cost;fault detection;number of test cases;fuzzy model","Fault detection;Mathematical model;Software;Buildings;Testing;Measurement;Fuzzy logic","program testing;software fault tolerance","cost cognizant software test case prioritization;fault detection rate;high priority requirements;TCP techniques;branch coverage;nonprioritized test suite;cost aware fuzzy model","","1","","23","IEEE","12 Dec 2019","","","IEEE","IEEE Conferences"
"Practical Selective Regression Testing with Effective Redundancy in Interleaved Tests","D. Marijan; M. Liaaen","Simula, Norway; Cisco, Norway","2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP)","30 Aug 2018","2018","","","153","162","As software systems evolve and change over time, test suites used for checking the correctness of software typically grow larger. Together with size, test suites tend to grow in redundancy. This is especially problematic for complex highly-configurable software domains, as growing the size of test suites significantly impacts the cost of regression testing. In this paper we present a practical approach for reducing ineffective redundancy of regression suites in continuous integration testing (strict constraints on time-efficiency) for highly-configurable software. The main idea of our approach consists in combining coverage based redundancy metrics (test overlap) with historical fault-detection effectiveness of integration tests, to identify ineffective redundancy that is eliminated from a regression test suite. We first apply and evaluate the approach in testing of industrial video conferencing software. We further evaluate the approach using a large set of artificial subjects, in terms of fault-detection effectiveness and timeliness of regression test feedback. We compare the results with an advanced retest-all approach and random test selection. The results show that regression test selection based on coverage and history analysis can: 1) reduce regression test feedback compared to industry practice (up to 39%), 2) reduce test feedback compared to the advanced retest-all approach (up to 45%) without significantly compromising fault-detection effectiveness (less than 0.5% on average), and 3) improve fault detection effectiveness compared to random selection (72% on average).","","978-1-4503-5659-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449246","Test redundancy;selective regression testing;highly configurable software;highly-interleaving tests;test optimization;continuous regression testing","Testing;Redundancy;Software engineering;Industries;Manuals;Software systems","fault diagnosis;program testing;redundancy;regression analysis;software maintenance;teleconferencing","regression test suite;industrial video conferencing software;regression test feedback;random test selection;regression test selection;fault detection effectiveness;practical selective regression testing;interleaved tests;software systems evolve;highly-configurable software domains;practical approach;continuous integration testing;coverage based redundancy metrics;historical fault-detection effectiveness;integration tests","","","","33","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Using memetic algorithms for test case prioritization in model based software testing","F. M. Nejad; R. Akbari; M. M. Dejam","Department of Computer Engineering and IT, Shiraz University of Technology, Shiraz, Iran; Department of Computer Engineering and IT, Shiraz University of Technology, Shiraz, Iran; Shiraz University of Technology, Shiraz, Fars, IR","2016 1st Conference on Swarm Intelligence and Evolutionary Computation (CSIEC)","2 Jun 2016","2016","","","142","147","Building high quality software is one of the main goals in software industry. Software testing is a critical step in confirming the quality of software. Testing is an expensive activity because it consumes about 30% to 50% of all software developing cost. Today much research has been done in generating and prioritizing tests. First, tester should find the most important and critical path in software. They can reduce cost by finding errors and preventing to propagate it in design step. In this paper, a model based testing method is introduced. This method can prioritize tests using activity diagram, control flow graph, genetic and memetic algorithm. Different version of memetic algorithm has been made by stochastic local search, randomize iterative improvement, hill climbing and simulated annealing algorithms. The results show that the using local search methods with genetic algorithm (GA) provide efficiency and produce competitive results in comparison with GA.","","978-1-4673-8737-8","10.1109/CSIEC.2016.7482129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7482129","software testing;prioritization;Genetic;Memetic;Stochastic local search;Randomize iterative improvement;Hill climbing;Simulated annealing","Genetic algorithms;Software;Testing;Unified modeling language;Object oriented modeling;Memetics;Algorithm design and analysis","DP industry;genetic algorithms;program testing;search problems;software cost estimation;software quality","memetic algorithms;test case prioritization;model based software testing;high quality software;software industry;software developing cost;software critical path;cost reduction;model based testing method;activity diagram;control flow graph;genetic algorithm;stochastic local search;randomize iterative improvement;hill climbing;simulated annealing algorithms","","4","","22","IEEE","2 Jun 2016","","","IEEE","IEEE Conferences"
"Improving Test Effectiveness Using Test Executions History: An Industrial Experience Report","A. Najafi; W. Shang; P. C. Rigby","Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada; Department of Computer Science and Software Engineering, Concordia University, Montreal, Quebec, Canada","2019 IEEE/ACM 41st International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)","19 Aug 2019","2019","","","213","222","The cost of software testing has become a burden for software companies in the era of rapid release and continuous integration. Our industrial collaborator Ericsson also faces the challenges of expensive testing processes which are typically part of a complex and specialized testing environment. In order to assist Ericsson with improving the test effectiveness of one of its large subsystems, we adopt test selection and prioritization approaches based on test execution history from prior research. By adopting and simulating those approaches on six months of testing data from our subject system, we confirm the existence of valuable information in the test execution history. In particular, the association between test failures provide the most value to the test selection and prioritization processes. More importantly, during this exercise, we encountered various challenges that are unseen or undiscussed in prior research. We document the challenges, our solutions and the lessons learned as an experience report. Our experiences can be valuable for other software testing practitioners and researchers who would like to adopt existing test effectiveness improvement approaches into their work environment.","","978-1-7281-1760-7","10.1109/ICSE-SEIP.2019.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8804426","Test effectiveness, Test prioritization, Test selection, Industrial experience report","History;Software systems;Software testing;Redundancy;Software engineering","program testing","test executions history;specialized testing environment;test selection;prioritization approaches;test execution history;test failures;prioritization processes;software testing practitioners;Ericsson;test effectiveness improvement approaches","","15","","36","IEEE","19 Aug 2019","","","IEEE","IEEE Conferences"
"On the Industrial Applicability of Augmented Testing: An Empirical Study","M. Nass; E. Alégroth; R. Feldt","SERL Sweden, Blekinge Institute of Technology, Karlskrona, Sweden; SERL Sweden, Blekinge Institute of Technology, Karlskrona, Sweden; SERL Sweden and Software Engineering, Chalmers University of Technology, Gothenburg, Sweden","2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","4 Aug 2020","2020","","","364","371","Testing applications with graphical user Interfaces (GUI) is an important but also a time-consuming task in practice. Tools and frameworks for GUI test automation can make the test execution more efficient and lower the manual labor required for regression testing. However, the test scripts used for automated GUI-based testing still require a substantial development effort and are often reported as sensitive to change, leading to frequent and costly maintenance. The efficiency of development, maintenance, and evolution of such tests are thereby dependent on the readability of scripts and the ease-of-use of test tools/frameworks in which the test scripts are defined. To address these shortcomings in existing state-of-practice techniques, a novel technique referred to as Augmented Testing (AT) has been proposed. AT is defined as testing the System Under Test (SUT) through an Augmented GUI that superimposes information on top of the SUT GUI. The Augmented GUI can provide the user with hints, test data, or other support while also observing and recording the tester's interactions. For this study, a prototype tool, called Scout, has been used that adheres to the AT concept that is evaluated in an industrial empirical study. In the evaluation, quasi-experiments and questionnaire surveys are performed in two workshops, with 12 practitioners from two Swedish companies (Ericsson and Inceptive). Results show that Scout can be used to create equivalent test cases faster, with statistical significance, than creating automated scripts in two popular state-of-practice tools. The study concludes that AT has cost-value benefits, applies to industrial-grade software, and overcomes several deficiencies of state-of-practice GUI testing technologies in terms of ease-of-use.","","978-1-7281-1075-2","10.1109/ICSTW50294.2020.00065","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155725","System Testing;Test Automation;Industrial Case Study;Augmented Testing","Graphical user interfaces;Testing;Tools;Prototypes;Automation;Manuals;Debugging","graphical user interfaces;industrial engineering;program testing","automated GUI-based testing;test scripts;SUT GUI;test data;equivalent test cases;automated scripts;state-of-practice tools;industrial applicability;graphical user interfaces;GUI test automation;test execution;regression testing;GUI testing technologies;augmented GUI;Swedish companies;Ericsson;Inceptive","","2","","19","IEEE","4 Aug 2020","","","IEEE","IEEE Conferences"
"Practical Amplification of Condition/Decision Test Coverage by Combinatorial Testing","A. Andrzejak; T. Bach","Institute of Computer Science, Heidelberg University, Germany; Institute of Computer Science, Heidelberg University, Germany","2018 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","19 Jul 2018","2018","","","341","347","Test suites in complex software projects might grow over time to considerable sizes, incurring high maintenance effort and prolonged execution times. Maintaining their quality and efficiency require pruning of redundancies while increasing, or at least retaining their coverage levels. We propose a lightweight method to tackle these problems with focus on condition/decision coverage (C/D coverage). First, we describe a method to reduce the size of unit tests suites while preserving the degree of their C/D coverage. We then introduce an approach which combines combinatorial testing and input space modeling to further increase the degree of the C/D coverage. Our semi-automated method works even in absence of models or documentation, and it produces a low number of new test cases requiring queries to a test oracle. We also do not use symbolic execution techniques due to their complexity and limited tool availability for some languages. These properties make our approach practically applicable in industrial projects, and simpler to implement. We evaluate our approach on selected examples from SAP HANA, a very large industrial application in C++. We demonstrate that it is possible to generate from integration tests new suites of unit tests with high C/D-coverage but with only few test cases. At the same time, the human effort of creating such suites is moderate.","","978-1-5386-6352-3","10.1109/ICSTW.2018.00070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8411773","Unit Testing;Combinatorial Testing;Input Space Modeling;Test Coverage;Test Suite Minimization","Software;Conferences;Software testing;Documentation;C++ languages","decision making;program testing;project management;software management","condition/decision test coverage;combinatorial testing;complex software projects;coverage levels;lightweight method;unit tests suites;input space modeling;test oracle;industrial projects;integration tests;C/D-coverage","","1","","15","IEEE","19 Jul 2018","","","IEEE","IEEE Conferences"
