Year,Authors,Title,Source
2018,"A. Bertolino, A. Calabrò, F. Lonetti, E. Marchetti, and B. Miranda",A categorization scheme for software engineering conference papers and its application,Backward snowballing (2021-11)
2017,"Ni, C., Liu, W.-S., Chen, X., Gu, Q., Chen, D.-X., & Huang, Q.-G.",A cluster based feature selection method for cross-project software defect prediction,Backward snowballing (2021-11)
2018,"Azizi, M., & Do, H.",A collaborative filtering recommender system for test case prioritization in web applications.,Backward snowballing (2021-11)
2016,Rami Hasan Al-Ta’ani and Rozilawati Razali,A Framework for Requirements Prioritisation Process in an Agile Software Development Environment: Empirical Study,Backward snowballing (2021-11)
2018,"Mandal, A., Mohan, D., Jetley, R., Nair, S., and D’Souza, M.",A generic static analysis framework for domain-specific languages,Backward snowballing (2021-11)
2017,S. Ghai and S. Kaur,A hill climbing approach for test case prioritization,Backward snowballing (2021-11)
2016,"P. Saraswat, A. Singhal et al.",A Hybrid Approach for Test Case Prioritization and Optimization Using Meta-Heuristics Techniques,Backward snowballing (2021-11)
2016,"Tien-Duy B Le, David Lo, Claire Le Goues, and Lars Grunske.",A learning-to-rank based fault localization approach using likely invariants,Backward snowballing (2021-11)
2016,"E. Wittern, P. Suter, and S. Rajagopalan",A look at the dynamics of the JavaScript package ecosystem,Backward snowballing (2021-11)
2017,"Ma, C., & Provost, J.",A model-based testing framework with reduced set oftest cases for programmable controllers,Backward snowballing (2021-11)
2016,"Marchetto, A., Islam, M., Scanniello, G., Asghar, W., & Susi, A.",A multi-objective technique to prioritize test cases,Backward snowballing (2021-11)
2016,"S.Wang, S. Ali, T. Yue, Y. Li and M. Liaaen",A Practical Guide to Select Quality Indicators for Assessing Pareto-Based Search Algorithms in Search-Based Software Engineering,Backward snowballing (2021-11)
2016,"Thangiah, M., & Basri, S.",A preliminary analysis of various testing techniques in agile development - a systematic literature review,Backward snowballing (2021-11)
2016,M. Rava and W. M. N. W. Kadir,A review on prioritization techniques in regression testing,Backward snowballing (2021-11)
2018,"Mukherjee, R., Patnaik, K.S.",A survey on different approaches for software test case prioritization,Backward snowballing (2021-11)
2017,"D. Suleiman, M. Alian, and A. Hudaib",A survey on prioritization regression testing test case,Backward snowballing (2021-11)
2018,"Heck, P., & Zaidman, A.",A systematic literature review on quality criteria for agile requirements specifications.,Backward snowballing (2021-11)
2018,"S. U. R. Khan, S. P. Lee, N. Javaid, and W. Abdul","A systematic review on test suite reduction: Approaches, experiment’s quality evaluation, and guidelines",Backward snowballing (2021-11)
2017,"L¨ubke, D., Ivanchikj, A., Pautasso, C.",A template for categorizing empirical business process metrics,Backward snowballing (2021-11)
2017,"Alexandre Perez, Rui Abreu, and Arie van Deursen",A Test-suite Diagnosability Metric for Spectrum-based Fault Localization Approaches,Backward snowballing (2021-11)
2016,"Bjarnason E, Smolander K, Engstr¨om E, Runeson P",A theory of distances in software engineering,Backward snowballing (2021-11)
2016,"M.E. Coşkun, M.M. Ceylan, K. Yiğitözu, V. Garousi",A tool for automated inspection of software design documents and its empirical evaluation in an aviation industry setting,Backward snowballing (2021-11)
2018,"Aman, H., Nakano, T., Ogasawara, H., & Kawahara, M.",A topic model and test history-based test case recommendation method for regression testing,Backward snowballing (2021-11)
2018,"Miranda, B., & Bertolino, A.",An assessment ofoperational coverage as both an adequacy and a selection criterion for operational profile based testing,Backward snowballing (2021-11)
2016,"M.R. Karim, G. Ruhe, M.M. Rahman, V. Garousi, T. Zimmermann,",An empirical investigation of single-objective and multi-objective evolutionary algorithms for developer's assignment to bugs,Backward snowballing (2021-11)
2018,"L¨ubke, D.",An extended evaluation of process log analysis for BPEL test coverage calculation,Backward snowballing (2021-11)
2018,"Vahid Alizadeh, Marouane Kessentini, Wiem Mkaouer, Mel Ocinneide, Ali Ouni, and Yuanfang Cai",An interactive and dynamic search-based approach to software refactoring recommendations,Backward snowballing (2021-11)
2019,"L¨ubke, D., Unger, T., Wutke, D.",Analysis of data-flow complexity and architectural implications. Empirical Studies on the Development of Executable Business Processes,Backward snowballing (2021-11)
2016,"Coutinho, A.E.V.B., Cartaxo, E.G., Machado, P.d.D.L.",Analysis of distance functions for similarity-based test suite reduction in the context of model-based testing,Backward snowballing (2021-11)
2016,J. Zhou and R. J. Walker,API deprecation: A retrospective analysis and detection method for code examples on the web,Backward snowballing (2021-11)
2016,"Qian, H and Andresen, D.",Automate Scientific Workflow Execution between Local Cluster and Cloud,Backward snowballing (2021-11)
2017,"P.E. Strandberg, W. Afzal, T.J. Ostrand, E.J. Weyuker, D. Sundmark",Automated system-level regression test prioritization in a nutshell,Backward snowballing (2021-11)
2016,"Zhang H, Wu H, Rountev A.",Automated test generation for detection of leaks in Android applications,Backward snowballing (2021-11)
2016,"Lima, B. and Faria, J. P.",Automated Testing of Distributed and Heterogeneous Systems Based on UML Sequence Diagrams,Backward snowballing (2021-11)
2016,"Cl´audio Magalh˜aes, Alexandre Mota, Fl´avia Barros, and Eliot Maia",Automatic selection of test cases for regression testing,Backward snowballing (2021-11)
2016,R. Khan and M. Amjad,Automatic test case generation of test cases for data flow test path using K-means clustering and genetic algorithm,Backward snowballing (2021-11)
2016,"Cl´audio Magalh˜aes, Alexandre Mota, and Eliot Maia",Automatically finding hidden industrial criteria used in test selection,Backward snowballing (2021-11)
2016,"Song Wang, Taiyue Liu, and Lin Tan",Automatically learning semantic features for defect prediction,Backward snowballing (2021-11)
2016,"Song Wang, Devin Chollak, Dana Movshovitz-Attias, and Lin Tan",Bugram: Bug detection with n-gram language models,Backward snowballing (2021-11)
2016,"Ahmet Celik, Alex Knaust, Aleksandar Milicevic, and Milos Gligoric",Build System with Lazy Retrieval for Java Projects,Backward snowballing (2021-11)
2016,"I. Ahmed, R. Gopinath, C. Brindescu, A. Groce, and C. Jensen",Can testedness be effectively measured?,Backward snowballing (2021-11)
2016,"V. Garousi, K. Petersen, B. Özkan",Challenges and best practices in industry-academia collaborations in software engineering: a systematic literature review,Backward snowballing (2021-11)
2016,"Hamed Esfahani, Jonas Fietz, Qi Ke, Alexei Kolomiets, Erica Lan, Erik Mavrinac, Wolfram Schulte, Newton Sanches, and Srikanth Kandula",CloudBuild: Microsoft’s Distributed and Caching Build Service,Backward snowballing (2021-11)
2018,"C. Coviello, S. Romano, G. Scanniello, A. Marchetto, G. Antoniol, and A. Corazza",Clustering support for inadequate test suite reduction,Backward snowballing (2021-11)
2019,"Horváth, F., Gergely, T., Beszédes, Á., Tengeri, D., Balogh, G., & Gyimóthy, T.",Code coverage differences of Java bytecode and source code instrumentation tools,Backward snowballing (2021-11)
2016,"C. Henard, M. Papadakis, M. Harman, Y. Jia, Y. Le Traon",Comparing white-box and black-box test prioritization,Backward snowballing (2021-11)
2017,J. Ding and X. Y. Zhang,Comparison analysis of two test case prioritization approaches with the core idea of adaptive,Backward snowballing (2021-11)
2016,"Y. Zheng, S. Kell, L. Bulej, H. Sun, W. Binder",Comprehensive multiplatform dynamic program analysis for Java and Android,Backward snowballing (2021-11)
2018,"E. Alégroth, A. Karlsson, A. Radway",Continuous integration and visual gui testing: Benefits and drawbacks in industrial practice,Backward snowballing (2021-11)
2017,"M. Shahin, M.A. Babar, L. Zhu","Continuous integration, delivery and deployment: a systematic review on approaches, tools, challenges and practices",Backward snowballing (2021-11)
2018,"Tulasiraman, M., & Kalimuthu, V.",Cost Cognizant history based prioritization of test case for regression testing using immune algorithm,Backward snowballing (2021-11)
2016,"Schwartz A, Do H.",Cost-effective regression testing through adaptive test prioritization strategies,Backward snowballing (2021-11)
2017,"J.-H. Kwon, I.-Y. Ko",Cost-effective regression testing using bloom filters in continuous integration development environments,Backward snowballing (2021-11)
2018,J. Liang,Cost-effective techniques for continuous integration testing,Backward snowballing (2021-11)
2016,"Feng Zhang, Quan Zheng, Ying Zou, and Ahmed E Hassan",Cross-project defect prediction using a connectivity-based unsupervised classifier,Backward snowballing (2021-11)
2019,"Zhao, D., Lin, H., Ran, L., Han, M., Tian, J., Lu, L., & Xiang, J.",CVSkSA: cross-architecture vulnerability search in firmware based on kNN-SVM and attributed control flow graph,Backward snowballing (2021-11)
2018,B. Gauf,Defense needs better ways to test software,Backward snowballing (2021-11)
2018,"J. Bell, O. Legunsen, M. Hilton, L. Eloussi, T. Yung, and D. Marinov",Deflaker: Automatically detecting flaky tests,Backward snowballing (2021-11)
2016,Mansyur and - Muliana,Detecting Differential Item Functioning and Differential Test Functioning on Math School Final-exam,Backward snowballing (2021-11)
2016,Breno Miranda and Antonia Bertolino,Does code coverage provide a good stopping rule for operational profile based testing?,Backward snowballing (2021-11)
2016,"Tahvili, S., Saadatmand, M., Larsson, S., Afzal, W., Bohlin, M., Sudmark, D.",Dynamic integration test selection based on test case dependencies,Backward snowballing (2021-11)
2018,O. Banias,Dynamic programming optimization algorithm applied in test case selection,Backward snowballing (2021-11)
2016,Dusica Marijan and Marius Liaaen,Effect of time window on the performance of continuous regression testing,Backward snowballing (2021-11)
2019,"Al-Hajjaji, M., Thüm, T., Lochau, M., Meinicke, J., & Saake, G.",Effective product-line testing using similarity-based product prioritization,Backward snowballing (2021-11)
2017,"R. Kazmi, D.N.A. Jawawi, R. Mohamad, I. Ghani",Effective Regression Test Case Selection: A Systematic Literature Review,Backward snowballing (2021-11)
2019,"D. Pradhan, S. Wang, S. Ali, T. Yue, M. Liaaen",Employing rule mining and multi-objective search for dynamic test case prioritization,Backward snowballing (2021-11)
2017,"Nayak, S., Kumar, C., & Tripathi, S.",Enhancing efficiency of the test case prioritization technique by improving the rate of fault detection,Backward snowballing (2021-11)
2017,"Yi Bian, Zheng Li, Ruilian Zhao, and Dunwei Gong",Epistasis Based ACO for Regression Test Case Prioritization,Backward snowballing (2021-11)
2017,"A. Rai, G.P. Gupta, P. Kumar",Estimation of software development efforts using improved delphi technique: a novel approach,Backward snowballing (2021-11)
2018,"V. Garousi, et al.",Experience in automated testing of simulation software in the aviation industry,Backward snowballing (2021-11)
2017,"L¨ubke, D.",Extracting and conserving production data as test cases in executable business process architectures,Backward snowballing (2021-11)
2016,"M. Eyl, C. Reichmann, K. Müller-Glaser",Fast feedback from automated tests executed with the product build,Backward snowballing (2021-11)
2017,"Marko Vasic, Zuhair Parvez, Aleksandar Milicevic, and Milos Gligoric",File-Level vs. Module-Level Regression Test Selection for .NET,Backward snowballing (2021-11)
2018,"A. Vahabzadeh, A. Stocco, and A. Mesbah",Fine-grained test minimization,Backward snowballing (2021-11)
2018,M. Harman and P. O’Hearn,From start-ups to scale-ups: Opportunities and open problems for static and dynamic program analysis,Backward snowballing (2021-11)
